TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
AGLSBQ,2013/01/03,S,4
AGLSTG,2013/01/03,B,1
AGLSTG,2013/01/03,S,2
AIP,2013/01/03,B,179
AIP,2013/01/03,S,111
ALT,2013/01/03,B,31
ALT,2013/01/03,S,26
AMA,2013/01/03,S,3
AME,2013/01/03,B,1
AME,2013/01/03,S,3
AMS,2013/01/03,B,1045
AMS,2013/01/03,S,1607
AMSIBD,2013/01/03,B,1
AMSSBB,2013/01/03,S,1
AMSSBC,2013/01/03,B,3
ANG,2013/01/03,B,1544
ANG,2013/01/03,S,2517
ANGSBB,2013/01/03,B,14
ANGSBB,2013/01/03,S,4
ANGSBC,2013/01/03,B,1
ANM,2013/01/03,B,1
ANM,2013/01/03,S,1
ANP,2013/01/03,B,7
ANS,2013/01/03,B,2
AOX,2013/01/03,S,1
APK,2013/01/03,S,2
APN,2013/01/03,B,524
APN,2013/01/03,S,1238
AQP,2013/01/03,B,200
AQP,2013/01/03,S,184
ARH,2013/01/03,B,2
ARH,2013/01/03,S,4
ARI,2013/01/03,B,251
ARI,2013/01/03,S,598
ARL,2013/01/03,B,57
ARL,2013/01/03,S,30
ART,2013/01/03,B,4
ART,2013/01/03,S,7
ASA,2013/01/03,B,592
ASA,2013/01/03,S,1036
ASASBR,2013/01/03,B,1
ASO,2013/01/03,B,1
ASR,2013/01/03,B,239
ASR,2013/01/03,S,293
ATL,2013/01/03,B,3
ATL,2013/01/03,S,1
ATN,2013/01/03,B,25
ATN,2013/01/03,S,9
ATNP,2013/01/03,B,21
ATNP,2013/01/03,S,40
AVI,2013/01/03,B,764
AVI,2013/01/03,S,123
AWA,2013/01/03,B,6
AWA,2013/01/03,S,7
AWB,2013/01/03,S,20
AWT,2013/01/03,B,1
B2G,2013/01/03,S,1
BAT,2013/01/03,B,78
BAT,2013/01/03,S,69
BATP,2013/01/03,B,3
BATP,2013/01/03,S,5
BAU,2013/01/03,S,1
BAW,2013/01/03,B,401
BAW,2013/01/03,S,1091
BBET40,2013/01/03,B,3
BBET40,2013/01/03,S,1
BCF,2013/01/03,S,4
BCX,2013/01/03,B,4
BCX,2013/01/03,S,3
BDM,2013/01/03,B,5
BDM,2013/01/03,S,1
BEG,2013/01/03,S,2
BEL,2013/01/03,B,11
BEL,2013/01/03,S,4
BFS,2013/01/03,B,4
BFS,2013/01/03,S,13
BGREEN,2013/01/03,B,2
BIL,2013/01/03,B,987
BIL,2013/01/03,S,1479
BILSBB,2013/01/03,B,1
BILSBB,2013/01/03,S,1
BILSBC,2013/01/03,S,2
BILSBX,2013/01/03,B,1
BILSTI,2013/01/03,B,2
BLU,2013/01/03,B,55
BLU,2013/01/03,S,93
BMN,2013/01/03,S,1
BRN,2013/01/03,B,3
BRT,2013/01/03,B,1
BSR,2013/01/03,B,3
BSR,2013/01/03,S,10
BTI,2013/01/03,B,899
BTI,2013/01/03,S,1262
BTIIHB,2013/01/03,S,2
BTISBC,2013/01/03,B,6
BTISBC,2013/01/03,S,1
BTISTA,2013/01/03,B,5
BTISTA,2013/01/03,S,5
BVT,2013/01/03,B,1321
BVT,2013/01/03,S,1526
BWI,2013/01/03,B,1
BWL,2013/01/03,S,1
CAT,2013/01/03,B,3
CBH,2013/01/03,S,2
CCL,2013/01/03,S,2
CCO,2013/01/03,B,14
CCO,2013/01/03,S,19
CDZ,2013/01/03,B,1
CFR,2013/01/03,B,785
CFR,2013/01/03,S,579
CFRSBF,2013/01/03,S,5
CFRSTG,2013/01/03,B,2
CGR,2013/01/03,B,1
